bat,sympatry,mating,colony,latitude,pub.websci,virus
Antrozous_pallidus,116,polygynandry,139,33.69,135,1
Artibeus_jamaicensis,262,polygyny,50,13.58,244,5
Carollia_perspicillata,287,polygyny,100,-6.4,375,6
Chaerephon_pumila,216,polygyny,100,-0.29,12,3
Coleura_afra,178,polygyny,50000,5.98,4,3
Corynorhinus_townsendii,117,polygynandry,300,37.65,56,1
Cynopterus_brachyotis,213,polygyny,8,11.56,64,3
Cynopterus_sphinx,266,polygyny,40,18.63,153,4
Desmodus_rotundus,302,polygynandry,5000,-7.96,394,8
Eidolon_helvum,200,polygynandry,1000000,-2.28,111,18
Eonycteris_spelaea,296,polygyny,5000,11.21,30,4
Epomophorus_gambianus,132,polygyny,50,9.35,8,1
Epomophorus_wahlbergi,160,polygynandry,100,-10.72,37,1
Eptesicus_fuscus,280,polygynandry,700,38.5,1425,7
Eptesicus_serotinus,187,polygynandry,20,41.33,154,11
Hipposideros_caffer,200,polygyny,500000,-0.95,19,6
Hypsignathus_monstrosus,150,polygynandry,135,1.76,15,1
Lasionycteris_noctivigans,66,polygynandry,55,43.8,173,1
Lasiurus_borealis,61,polygynandry,1,38.51,168,1
Lasiurus_cinereus,274,polygynandry,1,27.79,253,1
Miniopterus_schreibersii,154,polygynandry,10000,39.61,204,33
Myonycteris_torquata,146,polygynandry,1,0.56,12,1
Myotis_daubentoni,90,polygyny,100,51.79,225,19
Myotis_evotis,34,polygynandry,30,43.85,48,1
Myotis_lucifugus,37,polygynandry,3000,49.73,1167,4
Myotis_myotis,43,polygynandry,1000,44.92,480,12
Myotis_mystacinus,48,polygyny,100,51.18,51,10
Myotis_nattereri,52,polygyny,200,48.08,124,9
Mystacina_tuberculata,1,polygynandry,6000,-38.859,75,5
Nyctalus_leisleri,87,polygyny,500,47.39,99,4
Nyctalus_noctula,173,polygyny,234,47.63,207,12
Nycticeius_humeralis,71,polygyny,300,35.33,80,1
Phyllostomus_discolor,274,polygyny,400,-5.3,121,1
Pipistrellus_nanus,211,polygyny,100,-3.44,24,2
Pipistrellus_nathusii,43,polygyny,145,50.17,84,5
Pipistrellus_pipistrellus,168,polygyny,300,42.22,542,13
Plecotus_auritus,44,polygynandry,30,51.09,333,7
Pteropus_alecto,172,polygynandry,50000,-15.34,97,4
Pteropus_giganteus,132,polygynandry,500,22.96,110,13
Pteropus_hypomelanus,183,polygyny,250,5.12,35,3
Pteropus_poliocephalus,36,polygynandry,50000,-31.78,168,5
Pteropus_scapulatus,78,polygynandry,200000,-22.86,26,2
Pteropus_vampyrus,219,polygyny,21000,2.94,66,4
Rhinolophus_ferrumequinum,178,polygynandry,300,36.86,352,25
Rhinolophus_hipposideros,84,polygynandry,100,40.39,112,12
Rousettus_aegyptiacus,211,polygynandry,5000,0.27,286,17
Tadarida_brasiliensis,330,polygynandry,20000000,2.83,432,8
Taphozous_melanopogon,311,polygyny,4000,13.92,29,7
Tylonycteris_pachypus,276,polygyny,13,12.22,16,3
Tylonycteris_robustula,265,polygynandry,8,12.12,8,3
Uroderma_bilobatum,275,polygyny,59,-5.27,34,1